pfaf_id,month,Rainf_tavg,Qair_f_tavg,Qs_tavg,Evap_tavg,Tair_f_tavg,SoilMoist_inst_lvl_0,SoilMoist_inst_lvl_1,SoilMoist_inst_lvl_2,SoilMoist_inst_lvl_3,SoilTemp_inst_lvl_0,SoilTemp_inst_lvl_1,SoilTemp_inst_lvl_2,SoilTemp_inst_lvl_3,Streamflow_tavg
62224,1,7.511448,16.696949,0.104231015,3.809316,24.666052,0.3508201,0.34730437,0.33489898,0.29212317,25.45775,25.555847,25.33677,25.37865,358.49466
62224,8,0.4944811,9.736358,0.0006072282,2.0872464,26.613466,0.1538146,0.23461938,0.24093549,0.24941298,27.114437,27.153166,26.372162,25.84094,212.54053
62224,9,2.0967853,11.54506,0.0085659595,2.6237755,27.664751,0.20257035,0.22378771,0.21799146,0.22424008,27.868156,28.03778,27.183601,26.53113,33.315907
62224,10,4.1545258,14.371343,0.019827398,3.4596107,26.96514,0.2767934,0.26502487,0.21906663,0.20721993,26.867678,27.225048,26.90071,26.747065,18.66203
62224,11,5.388806,15.829983,0.029910794,3.7861433,26.18591,0.31533766,0.30311328,0.2578918,0.20364785,26.104168,26.39324,26.244883,26.326702,28.051052
62224,12,6.6417375,16.423307,0.049039893,3.8884254,25.224533,0.33762282,0.3293589,0.30398542,0.23142256,25.549593,25.79674,25.68478,25.78576,80.63293
