month,ensemble,pfaf_id,Rainf_tavg,Qair_f_tavg,Qs_tavg,Evap_tavg,Tair_f_tavg,SoilMoist_inst_lvl_0,SoilMoist_inst_lvl_1,SoilMoist_inst_lvl_2,SoilMoist_inst_lvl_3,SoilTemp_inst_lvl_0,SoilTemp_inst_lvl_1,SoilTemp_inst_lvl_2,SoilTemp_inst_lvl_3
1,1.0,62287,7.609660625457764,17.8438663482666,0.02697787806391716,3.627922534942627,25.59664535522461,0.34427881240844727,0.34736111760139465,0.35520270466804504,0.37948110699653625,26.889867782592773,26.46558380126953,26.22480583190918,26.18199348449707
1,2.0,62287,7.590001106262207,17.869884490966797,0.026724083349108696,3.6347570419311523,25.644065856933594,0.3451548218727112,0.34848278760910034,0.357053279876709,0.38318344950675964,26.856773376464844,26.423181533813477,26.167028427124023,26.098493576049805
1,3.0,62287,7.615401268005371,17.858644485473633,0.02555679902434349,3.6381428241729736,25.633981704711914,0.34513920545578003,0.3484439253807068,0.35696351528167725,0.38300621509552,26.847198486328125,26.416791915893555,26.161970138549805,26.092647552490234
1,4.0,62287,7.713247299194336,17.791662216186523,0.02940881811082363,3.6266489028930664,25.493764877319336,0.34541431069374084,0.3487206995487213,0.3572489321231842,0.3833587169647217,26.763671875,26.360631942749023,26.140636444091797,26.090351104736328
1,5.0,62287,7.655104160308838,17.88106346130371,0.027127806097269058,3.6413073539733887,25.66022491455078,0.34516432881355286,0.3484436869621277,0.3569066822528839,0.38285449147224426,26.86968231201172,26.43716812133789,26.17954444885254,26.104705810546875
1,6.0,62287,7.6249918937683105,17.826080322265625,0.026167701929807663,3.625563621520996,25.566585540771484,0.3452450931072235,0.3485630452632904,0.3571176826953888,0.3832481801509857,26.806230545043945,26.3895263671875,26.154388427734375,26.094776153564453
1,7.0,62287,7.644937515258789,17.778047561645508,0.025816112756729126,3.6493537425994873,25.524372100830078,0.3453347384929657,0.34867262840270996,0.3572765588760376,0.3835003972053528,26.77560806274414,26.35862922668457,26.129789352416992,26.082372665405273
2,1.0,62287,7.677430629730225,17.898727416992188,0.026417674496769905,3.649763584136963,25.716747283935547,0.3456871509552002,0.34924739599227905,0.35830259323120117,0.38545697927474976,27.02604103088379,26.621278762817383,26.29207420349121,26.13371467590332
2,2.0,62287,7.556905746459961,17.853490829467773,0.02443288452923298,3.636549711227417,25.652978897094727,0.3455544412136078,0.34918662905693054,0.3583850562572479,0.38582152128219604,26.92637825012207,26.525514602661133,26.208255767822266,26.06380844116211
2,3.0,62287,7.683906555175781,17.879947662353516,0.028618598356842995,3.637985944747925,25.65448570251465,0.3459998369216919,0.34963610768318176,0.3589070737361908,0.3865903913974762,26.933958053588867,26.536399841308594,26.22384262084961,26.07478141784668
2,4.0,62287,7.621418476104736,17.906726837158203,0.023532172664999962,3.630516290664673,25.71370506286621,0.3460027873516083,0.34967559576034546,0.3590264320373535,0.3868803381919861,26.954265594482422,26.525495529174805,26.17605972290039,26.023740768432617
2,5.0,62287,7.551893711090088,17.9093017578125,0.025814499706029892,3.6416165828704834,25.727853775024414,0.34555572271347046,0.349179744720459,0.35839545726776123,0.3858599066734314,26.981082916259766,26.567068099975586,26.230831146240234,26.072914123535156
2,6.0,62287,7.73750114440918,17.896596908569336,0.027390718460083008,3.658573865890503,25.703344345092773,0.34609171748161316,0.3497186303138733,0.3589669466018677,0.3866240382194519,26.971040725708008,26.556560516357422,26.220476150512695,26.05905532836914
2,7.0,62287,7.617660999298096,17.915998458862305,0.02794814296066761,3.6635193824768066,25.782262802124023,0.3456369638442993,0.3492484986782074,0.35843202471733093,0.385874480009079,27.015520095825195,26.595792770385742,26.24247169494629,26.060359954833984
3,1.0,62287,7.675580024719238,17.93744468688965,0.02386275865137577,3.6506354808807373,25.788902282714844,0.3461416959762573,0.34967172145843506,0.3589879274368286,0.38682112097740173,27.02311134338379,26.69085121154785,26.365619659423828,26.190265655517578
3,2.0,62287,7.666894435882568,17.861751556396484,0.023313084617257118,3.6328935623168945,25.67486572265625,0.34615781903266907,0.34968557953834534,0.3590192198753357,0.3868809938430786,26.860502243041992,26.54203987121582,26.254743576049805,26.10677719116211
3,3.0,62287,7.761170864105225,17.883949279785156,0.022412968799471855,3.6260972023010254,25.68482780456543,0.34665587544441223,0.3502121865749359,0.35964861512184143,0.38783860206604004,26.86379623413086,26.539222717285156,26.245590209960938,26.10219383239746
3,4.0,62287,7.53767728805542,17.922067642211914,0.021292435005307198,3.647167682647705,25.78489875793457,0.3458822965621948,0.34946194291114807,0.35885509848594666,0.3867751657962799,26.93578338623047,26.60083770751953,26.288686752319336,26.119192123413086
3,5.0,62287,7.791742324829102,17.896223068237305,0.025127381086349487,3.618159294128418,25.64320945739746,0.3467012345790863,0.35027045011520386,0.3597235381603241,0.3879496455192566,26.850051879882812,26.542203903198242,26.267730712890625,26.12822723388672
3,6.0,62287,7.662097454071045,17.902236938476562,0.023028962314128876,3.6601450443267822,25.777395248413086,0.34618911147117615,0.3497599959373474,0.3591683506965637,0.387199729681015,26.929712295532227,26.59900665283203,26.287811279296875,26.1252498626709
3,7.0,62287,7.82195520401001,17.8769588470459,0.027725541964173317,3.630126953125,25.639636993408203,0.34665119647979736,0.3501831591129303,0.35956260561943054,0.38762205839157104,26.844785690307617,26.534046173095703,26.256500244140625,26.11967658996582
4,1.0,62287,7.794522762298584,17.85186767578125,0.02620512619614601,3.5833098888397217,25.563928604125977,0.3466068506240845,0.35028040409088135,0.35978004336357117,0.3880240321159363,26.833839416503906,26.544790267944336,26.293926239013672,26.187654495239258
