month,ensemble,pfaf_id,Rainf_tavg,Qair_f_tavg,Qs_tavg,Evap_tavg,Tair_f_tavg,SoilMoist_inst_lvl_0,SoilMoist_inst_lvl_1,SoilMoist_inst_lvl_2,SoilMoist_inst_lvl_3,SoilTemp_inst_lvl_0,SoilTemp_inst_lvl_1,SoilTemp_inst_lvl_2,SoilTemp_inst_lvl_3
1,1.0,62231,,,,,,,,,,,,,
1,2.0,62231,,,,,,,,,,,,,
1,3.0,62231,,,,,,,,,,,,,
1,4.0,62231,,,,,,,,,,,,,
1,5.0,62231,,,,,,,,,,,,,
1,6.0,62231,,,,,,,,,,,,,
1,7.0,62231,,,,,,,,,,,,,
2,1.0,62231,,,,,,,,,,,,,
2,2.0,62231,,,,,,,,,,,,,
2,3.0,62231,,,,,,,,,,,,,
2,4.0,62231,,,,,,,,,,,,,
2,5.0,62231,,,,,,,,,,,,,
2,6.0,62231,,,,,,,,,,,,,
2,7.0,62231,,,,,,,,,,,,,
3,1.0,62231,,,,,,,,,,,,,
3,2.0,62231,,,,,,,,,,,,,
3,3.0,62231,,,,,,,,,,,,,
3,4.0,62231,,,,,,,,,,,,,
3,5.0,62231,,,,,,,,,,,,,
3,6.0,62231,,,,,,,,,,,,,
3,7.0,62231,,,,,,,,,,,,,
4,1.0,62231,,,,,,,,,,,,,
4,2.0,62231,,,,,,,,,,,,,
4,3.0,62231,,,,,,,,,,,,,
4,4.0,62231,,,,,,,,,,,,,
4,5.0,62231,,,,,,,,,,,,,
4,6.0,62231,,,,,,,,,,,,,
4,7.0,62231,,,,,,,,,,,,,
5,1.0,62231,,,,,,,,,,,,,
5,2.0,62231,,,,,,,,,,,,,
5,3.0,62231,,,,,,,,,,,,,
5,4.0,62231,,,,,,,,,,,,,
5,5.0,62231,,,,,,,,,,,,,
5,6.0,62231,,,,,,,,,,,,,
5,7.0,62231,,,,,,,,,,,,,
12,1.0,62231,,,,,,,,,,,,,
12,2.0,62231,,,,,,,,,,,,,
12,3.0,62231,,,,,,,,,,,,,
12,4.0,62231,,,,,,,,,,,,,
12,5.0,62231,,,,,,,,,,,,,
12,6.0,62231,,,,,,,,,,,,,
12,7.0,62231,,,,,,,,,,,,,
