time,ensemble,pfaf_id,Rainf_tavg,Qair_f_tavg,Qs_tavg,Evap_tavg,SoilMoist_inst_lvl_0,SoilMoist_inst_lvl_1,SoilMoist_inst_lvl_2,SoilMoist_inst_lvl_3,SoilTemp_inst_lvl_0,SoilTemp_inst_lvl_1,SoilTemp_inst_lvl_2,SoilTemp_inst_lvl_3
2024-12-31T00:00:00,1.0,62259,6.086812973022461,17.03160858154297,0.032279882580041885,3.5261003971099854,0.31535986065864563,0.28442704677581787,0.2103525847196579,0.19453856348991394,28.3721866607666,28.8125,29.371891021728516,30.03270149230957
2024-12-31T00:00:00,2.0,62259,5.261528968811035,16.856975555419922,0.01529634464532137,3.559697151184082,0.30343443155288696,0.26892468333244324,0.1969243288040161,0.19027487933635712,28.892087936401367,29.224105834960938,29.61025619506836,30.11439323425293
2024-12-31T00:00:00,3.0,62259,5.709933757781982,17.13703155517578,0.019676106050610542,3.5520851612091064,0.3133436441421509,0.28225913643836975,0.20863449573516846,0.19219069182872772,28.588682174682617,28.99397850036621,29.48965835571289,30.080453872680664
2024-12-31T00:00:00,4.0,62259,4.97053861618042,16.76774787902832,0.012442111037671566,3.6215121746063232,0.3026984632015228,0.26862016320228577,0.19603298604488373,0.19005201756954193,29.049123764038086,29.323944091796875,29.64106559753418,30.112777709960938
2024-12-31T00:00:00,5.0,62259,6.047711372375488,17.33023452758789,0.02268707938492298,3.513537883758545,0.3164660632610321,0.28631722927093506,0.21215465664863586,0.19313856959342957,28.38306427001953,28.79798698425293,29.329486846923828,29.998374938964844
2024-12-31T00:00:00,6.0,62259,6.313279628753662,17.09430503845215,0.0465383343398571,3.4881269931793213,0.3174959123134613,0.28726091980934143,0.21234974265098572,0.1947307586669922,28.21139144897461,28.66742515563965,29.276222229003906,29.987213134765625
2024-12-31T00:00:00,7.0,62259,6.737922668457031,16.972150802612305,0.06771279871463776,3.4505016803741455,0.3182418942451477,0.2883514165878296,0.21514254808425903,0.19804401695728302,28.0478515625,28.550851821899414,29.208477020263672,29.962383270263672
2025-01-31T00:00:00,1.0,62259,6.985134124755859,16.76553726196289,0.047109249979257584,3.4886374473571777,0.3504042625427246,0.3372071385383606,0.28742915391921997,0.2116888016462326,27.099681854248047,27.237001419067383,27.443561553955078,27.971084594726562
2025-01-31T00:00:00,2.0,62259,6.369462490081787,16.7974853515625,0.045121047645807266,3.4430763721466064,0.3422279357910156,0.3265804052352905,0.2646857500076294,0.20019395649433136,27.321908950805664,27.49185562133789,27.711997985839844,28.235116958618164
2025-01-31T00:00:00,3.0,62259,5.575138092041016,17.205047607421875,0.04522122070193291,3.351048469543457,0.3386898934841156,0.3243919610977173,0.2702908515930176,0.2009139358997345,27.48149299621582,27.606046676635742,27.743478775024414,28.169221878051758
2025-01-31T00:00:00,4.0,62259,6.17263650894165,17.099729537963867,0.03317481279373169,3.362670660018921,0.34042081236839294,0.32411640882492065,0.2597171366214752,0.1931796371936798,27.415040969848633,27.62439727783203,27.871353149414062,28.360076904296875
2025-01-31T00:00:00,5.0,62259,6.277543067932129,16.804821014404297,0.061209291219711304,3.4665892124176025,0.34490787982940674,0.3315573036670685,0.28156086802482605,0.20662689208984375,27.276668548583984,27.39653968811035,27.557382583618164,28.00995445251465
2025-01-31T00:00:00,6.0,62259,6.078518390655518,17.263795852661133,0.08099788427352905,3.4144480228424072,0.34525221586227417,0.3323822021484375,0.2839486002922058,0.2112874835729599,27.463483810424805,27.536623001098633,27.606658935546875,28.000417709350586
2025-01-31T00:00:00,7.0,62259,6.039951324462891,16.879497528076172,0.0429663360118866,3.4628567695617676,0.34621620178222656,0.33361154794692993,0.28508150577545166,0.21413473784923553,27.265241622924805,27.34388542175293,27.43863868713379,27.880910873413086
2025-02-28T00:00:00,1.0,62259,5.29079532623291,17.4674015045166,0.029522666707634926,3.373636245727539,0.35493165254592896,0.3482213318347931,0.3267444968223572,0.2415902465581894,27.364459991455078,27.34025764465332,27.09425163269043,27.096181869506836
2025-02-28T00:00:00,2.0,62259,6.241335391998291,16.983352661132812,0.1125098168849945,3.4639718532562256,0.35413438081741333,0.34532493352890015,0.3174346089363098,0.22410082817077637,27.238380432128906,27.286941528320312,27.183979034423828,27.287857055664062
2025-02-28T00:00:00,3.0,62259,5.52567195892334,17.173601150512695,0.08293171226978302,3.4576852321624756,0.3487952947616577,0.3399628698825836,0.3123157024383545,0.22251154482364655,27.533864974975586,27.529727935791016,27.31380271911621,27.334897994995117
2025-02-28T00:00:00,4.0,62259,5.3233418464660645,17.32354164123535,0.0275947917252779,3.4179322719573975,0.34921345114707947,0.340151309967041,0.31073325872421265,0.21817593276500702,27.46305274963379,27.476266860961914,27.30632209777832,27.363500595092773
2025-02-28T00:00:00,5.0,62259,5.902382850646973,17.28451156616211,0.09263528138399124,3.3654096126556396,0.3563861548900604,0.34927499294281006,0.32573187351226807,0.23686662316322327,27.215871810913086,27.313827514648438,27.206296920776367,27.236135482788086
2025-02-28T00:00:00,6.0,62259,6.269751071929932,17.61659049987793,0.08637206256389618,3.3687450885772705,0.35642024874687195,0.3484176993370056,0.3236164152622223,0.23483377695083618,27.403350830078125,27.449934005737305,27.280014038085938,27.290325164794922
2025-02-28T00:00:00,7.0,62259,6.783816814422607,17.05040740966797,0.08586056530475616,3.5476229190826416,0.35977375507354736,0.3519761264324188,0.3275689482688904,0.2373986691236496,27.27777671813965,27.287437438964844,27.1015682220459,27.12873649597168
