time,ensemble,pfaf_id,Rainf_tavg,Qair_f_tavg,Qs_tavg,Evap_tavg,Tair_f_tavg,SoilMoist_inst_lvl_0,SoilMoist_inst_lvl_1,SoilMoist_inst_lvl_2,SoilMoist_inst_lvl_3,SoilTemp_inst_lvl_0,SoilTemp_inst_lvl_1,SoilTemp_inst_lvl_2,SoilTemp_inst_lvl_3
2024-12-31T00:00:00,1.0,61597,5.754340171813965,17.198081970214844,0.03759549558162689,3.396012544631958,24.86939811706543,0.360975444316864,0.36233973503112793,0.3633534908294678,0.37017306685447693,26.521528244018555,25.939931869506836,25.83319854736328,25.804615020751953
2024-12-31T00:00:00,2.0,61597,6.757511138916016,17.429275512695312,0.053071606904268265,3.42795991897583,25.09514617919922,0.36562004685401917,0.36653852462768555,0.36742961406707764,0.37477725744247437,26.69855499267578,26.06944465637207,25.901126861572266,25.826751708984375
2024-12-31T00:00:00,3.0,61597,5.682058334350586,17.338708877563477,0.03775839880108833,3.3722214698791504,25.042333602905273,0.36088037490844727,0.3622877299785614,0.36352404952049255,0.37054377794265747,26.639720916748047,26.030378341674805,25.88117790222168,25.819120407104492
2024-12-31T00:00:00,4.0,61597,6.610913276672363,17.37166976928711,0.050505612045526505,3.4692986011505127,25.115739822387695,0.36501890420913696,0.36591434478759766,0.3667585849761963,0.3738689720630646,26.704809188842773,26.061906814575195,25.894899368286133,25.82181167602539
2024-12-31T00:00:00,5.0,61597,5.792322635650635,17.359222412109375,0.039381470531225204,3.3877434730529785,25.031991958618164,0.3613640069961548,0.36257216334342957,0.363520085811615,0.370222806930542,26.651485443115234,26.036970138549805,25.878419876098633,25.816591262817383
2024-12-31T00:00:00,6.0,61597,5.750588417053223,17.155441284179688,0.03753417357802391,3.4975602626800537,24.91509246826172,0.36046963930130005,0.36173340678215027,0.3626410961151123,0.3691922426223755,26.558956146240234,25.95224380493164,25.82097816467285,25.799055099487305
2024-12-31T00:00:00,7.0,61597,5.504088878631592,17.292285919189453,0.03387288376688957,3.5158777236938477,25.052631378173828,0.36012357473373413,0.3615635931491852,0.36273616552352905,0.3693854808807373,26.692672729492188,26.082050323486328,25.922151565551758,25.840076446533203
2025-01-31T00:00:00,1.0,61597,5.741821765899658,16.908418655395508,0.045319363474845886,3.442108631134033,24.71467399597168,0.3650255799293518,0.3680714964866638,0.3729637563228607,0.38860800862312317,26.28305435180664,25.60148811340332,25.344179153442383,25.282283782958984
2025-01-31T00:00:00,2.0,61597,6.484109878540039,17.2088565826416,0.05748951435089111,3.480870008468628,24.994831085205078,0.3705093264579773,0.3735426366329193,0.3795335292816162,0.3983464539051056,26.533662796020508,25.841703414916992,25.559215545654297,25.42781639099121
2025-01-31T00:00:00,3.0,61597,5.079679012298584,16.919429779052734,0.035490259528160095,3.357208490371704,24.6309757232666,0.3628169894218445,0.3661724328994751,0.37143704295158386,0.3871723413467407,26.247331619262695,25.620361328125,25.421573638916016,25.37055015563965
2025-01-31T00:00:00,4.0,61597,5.135100364685059,17.21889877319336,0.03510698676109314,3.5505127906799316,25.187808990478516,0.36454203724861145,0.36802318692207336,0.37408459186553955,0.39156922698020935,26.6776180267334,25.964279174804688,25.623918533325195,25.453027725219727
2025-01-31T00:00:00,5.0,61597,6.24543571472168,17.11136817932129,0.05405253544449806,3.4110515117645264,24.80040168762207,0.3683992028236389,0.371193528175354,0.37625283002853394,0.3927271366119385,26.38271713256836,25.713613510131836,25.470855712890625,25.382265090942383
2025-01-31T00:00:00,6.0,61597,6.85444450378418,17.15424346923828,0.06559854000806808,3.353626012802124,24.75989532470703,0.37129613757133484,0.37394440174102783,0.3790338337421417,0.39613449573516846,26.34001922607422,25.66809844970703,25.418888092041016,25.322900772094727
2025-01-31T00:00:00,7.0,61597,5.7900543212890625,17.025720596313477,0.04594224691390991,3.521289587020874,24.871829986572266,0.3636327087879181,0.36656123399734497,0.370953768491745,0.3853825032711029,26.45079803466797,25.761350631713867,25.482938766479492,25.389623641967773
2025-02-28T00:00:00,1.0,61597,6.716748237609863,17.392786026000977,0.0419013611972332,3.493572950363159,25.2069034576416,0.3720223307609558,0.37445858120918274,0.38035115599632263,0.39983105659484863,26.53522491455078,25.879661560058594,25.459564208984375,25.17257308959961
2025-02-28T00:00:00,2.0,61597,7.012069225311279,17.175048828125,0.04908733069896698,3.4792990684509277,24.800201416015625,0.3750103712081909,0.3777723014354706,0.38484087586402893,0.4071387052536011,26.263471603393555,25.67884635925293,25.3929443359375,25.236793518066406
2025-02-28T00:00:00,3.0,61597,6.813066005706787,17.27877426147461,0.046476300805807114,3.6421821117401123,25.10718536376953,0.371099054813385,0.3732597827911377,0.3785122036933899,0.39659973978996277,26.492721557617188,25.792892456054688,25.343708038330078,25.110902786254883
2025-02-28T00:00:00,4.0,61597,6.269547939300537,17.34524917602539,0.04151388257741928,3.533970355987549,25.183496475219727,0.368581086397171,0.371049702167511,0.37657806277275085,0.3945264518260956,26.565555572509766,25.951200485229492,25.598405838012695,25.355154037475586
2025-02-28T00:00:00,5.0,61597,6.206271648406982,17.24245262145996,0.03654259070754051,3.4755427837371826,25.01173973083496,0.3709597885608673,0.3736969828605652,0.38020503520965576,0.400438129901886,26.394145965576172,25.777050018310547,25.42767906188965,25.203468322753906
2025-02-28T00:00:00,6.0,61597,5.907046318054199,17.46952247619629,0.0333343967795372,3.480870246887207,25.34315299987793,0.37029972672462463,0.37319138646125793,0.38003119826316833,0.4007030129432678,26.630149841308594,25.949222564697266,25.505859375,25.213531494140625
